event_id,event_date,anchor_date,window_label,relative_day,market_date,sp500_return,expected_return,abnormal_return,event_group,event_type,description,event_regime,is_core_sample,is_pandemic_period,is_post_pandemic,include_in_primary_analysis,estimation_window_start,estimation_window_end,estimation_n_obs,estimation_sufficient_data
E02,2018-04-06,2018-04-06,m5_p5,-3,2018-04-03,0.012614865848792123,-0.001377601484445492,0.013992467333237614,escalation,tariff_announcement,USTR publishes proposed tariff list targeting Chinese imports,core,True,False,False,True,2018-02-22,2018-03-28,25,True
E02,2018-04-06,2018-04-06,m5_p5,-2,2018-04-04,0.01156648273982852,-0.001377601484445492,0.012944084224274012,escalation,tariff_announcement,USTR publishes proposed tariff list targeting Chinese imports,core,True,False,False,True,2018-02-22,2018-03-28,25,True
E02,2018-04-06,2018-04-06,m5_p5,-1,2018-04-05,0.0068628636575538415,-0.001377601484445492,0.008240465141999333,escalation,tariff_announcement,USTR publishes proposed tariff list targeting Chinese imports,core,True,False,False,True,2018-02-22,2018-03-28,25,True
E02,2018-04-06,2018-04-06,m5_p5,0,2018-04-06,-0.021920248779842444,-0.001377601484445492,-0.02054264729539695,escalation,tariff_announcement,USTR publishes proposed tariff list targeting Chinese imports,core,True,False,False,True,2018-02-22,2018-03-28,25,True
E02,2018-04-06,2018-04-06,m5_p5,1,2018-04-09,0.0033365488963206236,-0.001377601484445492,0.004714150380766115,escalation,tariff_announcement,USTR publishes proposed tariff list targeting Chinese imports,core,True,False,False,True,2018-02-22,2018-03-28,25,True
E02,2018-04-06,2018-04-06,m5_p5,2,2018-04-10,0.0167269537832615,-0.001377601484445492,0.018104555267706993,escalation,tariff_announcement,USTR publishes proposed tariff list targeting Chinese imports,core,True,False,False,True,2018-02-22,2018-03-28,25,True
E02,2018-04-06,2018-04-06,m5_p5,3,2018-04-11,-0.005525364482924067,-0.001377601484445492,-0.004147762998478575,escalation,tariff_announcement,USTR publishes proposed tariff list targeting Chinese imports,core,True,False,False,True,2018-02-22,2018-03-28,25,True
E02,2018-04-06,2018-04-06,m5_p5,4,2018-04-12,0.008250750063987677,-0.001377601484445492,0.009628351548433169,escalation,tariff_announcement,USTR publishes proposed tariff list targeting Chinese imports,core,True,False,False,True,2018-02-22,2018-03-28,25,True
E02,2018-04-06,2018-04-06,m5_p5,5,2018-04-13,-0.0028866254882486952,-0.001377601484445492,-0.0015090240038032033,escalation,tariff_announcement,USTR publishes proposed tariff list targeting Chinese imports,core,True,False,False,True,2018-02-22,2018-03-28,25,True
E03,2018-06-15,2018-06-15,m1_p1,-1,2018-06-14,0.002471549778432225,0.0020151899613894166,0.00045635981704280834,escalation,tariff_announcement,USTR finalizes 25 percent tariffs on 50 billion dollars of Chinese goods,core,True,False,False,True,2018-05-03,2018-06-07,25,True
E03,2018-06-15,2018-06-15,m1_p1,0,2018-06-15,-0.001017102715529128,0.0020151899613894166,-0.0030322926769185445,escalation,tariff_announcement,USTR finalizes 25 percent tariffs on 50 billion dollars of Chinese goods,core,True,False,False,True,2018-05-03,2018-06-07,25,True
E03,2018-06-15,2018-06-15,m1_p1,1,2018-06-18,-0.0021261277624751163,0.0020151899613894166,-0.004141317723864533,escalation,tariff_announcement,USTR finalizes 25 percent tariffs on 50 billion dollars of Chinese goods,core,True,False,False,True,2018-05-03,2018-06-07,25,True
E03,2018-06-15,2018-06-15,m3_p3,-3,2018-06-12,0.0017433852107295866,0.0020151899613894166,-0.0002718047506598299,escalation,tariff_announcement,USTR finalizes 25 percent tariffs on 50 billion dollars of Chinese goods,core,True,False,False,True,2018-05-03,2018-06-07,25,True
E03,2018-06-15,2018-06-15,m3_p3,-2,2018-06-13,-0.004026127868587581,0.0020151899613894166,-0.006041317829976998,escalation,tariff_announcement,USTR finalizes 25 percent tariffs on 50 billion dollars of Chinese goods,core,True,False,False,True,2018-05-03,2018-06-07,25,True
E03,2018-06-15,2018-06-15,m3_p3,-1,2018-06-14,0.002471549778432225,0.0020151899613894166,0.00045635981704280834,escalation,tariff_announcement,USTR finalizes 25 percent tariffs on 50 billion dollars of Chinese goods,core,True,False,False,True,2018-05-03,2018-06-07,25,True
E03,2018-06-15,2018-06-15,m3_p3,0,2018-06-15,-0.001017102715529128,0.0020151899613894166,-0.0030322926769185445,escalation,tariff_announcement,USTR finalizes 25 percent tariffs on 50 billion dollars of Chinese goods,core,True,False,False,True,2018-05-03,2018-06-07,25,True
E03,2018-06-15,2018-06-15,m3_p3,1,2018-06-18,-0.0021261277624751163,0.0020151899613894166,-0.004141317723864533,escalation,tariff_announcement,USTR finalizes 25 percent tariffs on 50 billion dollars of Chinese goods,core,True,False,False,True,2018-05-03,2018-06-07,25,True
E03,2018-06-15,2018-06-15,m3_p3,2,2018-06-19,-0.004023402292699374,0.0020151899613894166,-0.0060385922540887906,escalation,tariff_announcement,USTR finalizes 25 percent tariffs on 50 billion dollars of Chinese goods,core,True,False,False,True,2018-05-03,2018-06-07,25,True
E03,2018-06-15,2018-06-15,m3_p3,3,2018-06-20,0.0017121542893689945,0.0020151899613894166,-0.00030303567202042206,escalation,tariff_announcement,USTR finalizes 25 percent tariffs on 50 billion dollars of Chinese goods,core,True,False,False,True,2018-05-03,2018-06-07,25,True
E03,2018-06-15,2018-06-15,m5_p5,-5,2018-06-08,0.0031259043893263616,0.0020151899613894166,0.001110714427936945,escalation,tariff_announcement,USTR finalizes 25 percent tariffs on 50 billion dollars of Chinese goods,core,True,False,False,True,2018-05-03,2018-06-07,25,True
E03,2018-06-15,2018-06-15,m5_p5,-4,2018-06-11,0.001068707668436586,0.0020151899613894166,-0.0009464822929528306,escalation,tariff_announcement,USTR finalizes 25 percent tariffs on 50 billion dollars of Chinese goods,core,True,False,False,True,2018-05-03,2018-06-07,25,True
E03,2018-06-15,2018-06-15,m5_p5,-3,2018-06-12,0.0017433852107295866,0.0020151899613894166,-0.0002718047506598299,escalation,tariff_announcement,USTR finalizes 25 percent tariffs on 50 billion dollars of Chinese goods,core,True,False,False,True,2018-05-03,2018-06-07,25,True
E03,2018-06-15,2018-06-15,m5_p5,-2,2018-06-13,-0.004026127868587581,0.0020151899613894166,-0.006041317829976998,escalation,tariff_announcement,USTR finalizes 25 percent tariffs on 50 billion dollars of Chinese goods,core,True,False,False,True,2018-05-03,2018-06-07,25,True
E03,2018-06-15,2018-06-15,m5_p5,-1,2018-06-14,0.002471549778432225,0.0020151899613894166,0.00045635981704280834,escalation,tariff_announcement,USTR finalizes 25 percent tariffs on 50 billion dollars of Chinese goods,core,True,False,False,True,2018-05-03,2018-06-07,25,True
E03,2018-06-15,2018-06-15,m5_p5,0,2018-06-15,-0.001017102715529128,0.0020151899613894166,-0.0030322926769185445,escalation,tariff_announcement,USTR finalizes 25 percent tariffs on 50 billion dollars of Chinese goods,core,True,False,False,True,2018-05-03,2018-06-07,25,True
E03,2018-06-15,2018-06-15,m5_p5,1,2018-06-18,-0.0021261277624751163,0.0020151899613894166,-0.004141317723864533,escalation,tariff_announcement,USTR finalizes 25 percent tariffs on 50 billion dollars of Chinese goods,core,True,False,False,True,2018-05-03,2018-06-07,25,True
E03,2018-06-15,2018-06-15,m5_p5,2,2018-06-19,-0.004023402292699374,0.0020151899613894166,-0.0060385922540887906,escalation,tariff_announcement,USTR finalizes 25 percent tariffs on 50 billion dollars of Chinese goods,core,True,False,False,True,2018-05-03,2018-06-07,25,True
E03,2018-06-15,2018-06-15,m5_p5,3,2018-06-20,0.0017121542893689945,0.0020151899613894166,-0.00030303567202042206,escalation,tariff_announcement,USTR finalizes 25 percent tariffs on 50 billion dollars of Chinese goods,core,True,False,False,True,2018-05-03,2018-06-07,25,True
E03,2018-06-15,2018-06-15,m5_p5,4,2018-06-21,-0.006345510515579966,0.0020151899613894166,-0.008360700476969383,escalation,tariff_announcement,USTR finalizes 25 percent tariffs on 50 billion dollars of Chinese goods,core,True,False,False,True,2018-05-03,2018-06-07,25,True
E03,2018-06-15,2018-06-15,m5_p5,5,2018-06-22,0.0018619345065358228,0.0020151899613894166,-0.00015325545485359374,escalation,tariff_announcement,USTR finalizes 25 percent tariffs on 50 billion dollars of Chinese goods,core,True,False,False,True,2018-05-03,2018-06-07,25,True
