date,sp500,nasdaq,shanghai,vix
2017-02-09,2307.8701171875,5715.18017578125,3183.178955078125,10.880000114440918
2017-02-10,2316.10009765625,5734.1298828125,3196.698974609375,10.850000381469727
2017-02-13,2328.25,5763.9599609375,3216.839111328125,11.069999694824219
2017-02-14,2337.580078125,5782.56982421875,3217.927978515625,10.739999771118164
2017-02-15,2349.25,5819.43994140625,3212.986083984375,11.970000267028809
2017-02-16,2347.219970703125,5814.89990234375,3229.617919921875,11.760000228881836
2017-02-17,2351.159912109375,5838.580078125,3202.075927734375,11.489999771118164
2017-02-20,,,3239.9609375,
2017-02-21,2365.3798828125,5865.9501953125,3253.325927734375,11.569999694824219
2017-02-22,2362.820068359375,5860.6298828125,3261.218017578125,11.739999771118164
2017-02-23,2363.81005859375,5835.509765625,3251.375,11.710000038146973
2017-02-24,2367.340087890625,5845.31005859375,3253.43310546875,11.470000267028809
2017-02-27,2369.75,5861.89990234375,3228.659912109375,12.09000015258789
2017-02-28,2363.639892578125,5825.43994140625,3241.73291015625,12.920000076293945
2017-03-01,2395.9599609375,5904.02978515625,3246.93408203125,12.539999961853027
2017-03-02,2381.919921875,5861.22021484375,3230.028076171875,11.8100004196167
2017-03-03,2383.1201171875,5870.75,3218.31201171875,10.960000038146973
2017-03-06,2375.31005859375,5849.18017578125,3233.865966796875,11.239999771118164
2017-03-07,2368.389892578125,5833.93017578125,3242.406005859375,11.449999809265137
2017-03-08,2362.97998046875,5837.5498046875,3240.6650390625,11.859999656677246
2017-03-09,2364.8701171875,5838.81005859375,3216.74609375,12.300000190734863
2017-03-10,2372.60009765625,5861.72998046875,3212.760009765625,11.65999984741211
2017-03-13,2373.469970703125,5875.77978515625,3237.02392578125,11.350000381469727
2017-03-14,2365.449951171875,5856.81982421875,3239.327880859375,12.300000190734863
2017-03-15,2385.260009765625,5900.0498046875,3241.760009765625,11.630000114440918
2017-03-16,2381.3798828125,5900.759765625,3268.93505859375,11.210000038146973
2017-03-17,2378.25,5901.0,3237.447021484375,11.279999732971191
2017-03-20,2373.469970703125,5901.52978515625,3250.80810546875,11.34000015258789
2017-03-21,2344.02001953125,5793.830078125,3261.611083984375,12.470000267028809
2017-03-22,2348.449951171875,5821.64013671875,3245.219970703125,12.8100004196167
2017-03-23,2345.9599609375,5817.68994140625,3248.550048828125,13.119999885559082
2017-03-24,2343.97998046875,5828.740234375,3269.445068359375,12.960000038146973
2017-03-27,2341.590087890625,5840.3701171875,3266.955078125,12.5
2017-03-28,2358.570068359375,5875.14013671875,3252.947998046875,11.529999732971191
2017-03-29,2361.1298828125,5897.5498046875,3241.31396484375,11.420000076293945
2017-03-30,2368.06005859375,5914.33984375,3210.237060546875,11.539999961853027
2017-03-31,2362.719970703125,5911.740234375,3222.513916015625,12.369999885559082
2017-04-03,2358.840087890625,5894.68017578125,,12.380000114440918
2017-04-04,2360.159912109375,5898.60986328125,,11.789999961853027
2017-04-05,2352.949951171875,5864.47998046875,3270.304931640625,12.890000343322754
2017-04-06,2357.489990234375,5878.9501953125,3281.0048828125,12.390000343322754
2017-04-07,2355.5400390625,5877.81005859375,3286.615966796875,12.869999885559082
2017-04-10,2357.159912109375,5880.93017578125,3269.39306640625,14.050000190734863
2017-04-11,2353.780029296875,5866.77001953125,3288.966064453125,15.069999694824219
2017-04-12,2344.929931640625,5836.16015625,3273.830078125,15.770000457763672
2017-04-13,2328.949951171875,5805.14990234375,3275.9599609375,15.960000038146973
2017-04-14,,,3244.48291015625,
2017-04-17,2349.010009765625,5856.7900390625,3222.1669921875,14.65999984741211
2017-04-18,2342.18994140625,5849.47021484375,3196.712890625,14.420000076293945
2017-04-19,2338.169921875,5863.02978515625,3170.68701171875,14.930000305175781
2017-04-20,2355.840087890625,5916.77978515625,3172.10009765625,14.149999618530273
2017-04-21,2348.68994140625,5910.52001953125,3173.15087890625,14.630000114440918
2017-04-24,2374.14990234375,5983.81982421875,3129.531005859375,10.84000015258789
2017-04-25,2388.610107421875,6025.490234375,3134.56689453125,10.760000228881836
2017-04-26,2387.449951171875,6025.22998046875,3140.846923828125,10.850000381469727
2017-04-27,2388.77001953125,6048.93994140625,3152.18701171875,10.359999656677246
2017-04-28,2384.199951171875,6047.60986328125,3154.657958984375,10.819999694824219
2017-05-01,2388.330078125,6091.60009765625,,10.109999656677246
2017-05-02,2391.169921875,6095.3701171875,3143.7119140625,10.59000015258789
