date,sp500,nasdaq,shanghai,vix,sp500_return,nasdaq_return,shanghai_return,sp500_log_return,nasdaq_log_return,shanghai_log_return
2018-02-05,2648.93994140625,6967.52978515625,3487.4970703125,37.31999969482422,-0.04097922480422822,-0.03776029426818206,0.007341253778731627,-0.041842540938381426,-0.03849168499780571,0.007314437936501746
2018-02-06,2695.139892578125,7115.8798828125,3370.652099609375,29.979999542236328,0.017440920592313836,0.021291634514759794,-0.03350396239692177,0.017290573348937088,0.02106813455178275,-0.034078080080305204
2018-02-07,2681.659912109375,7051.97998046875,3309.260009765625,27.729999542236328,-0.005001588416939429,-0.008979901768450649,-0.018213712963988438,-0.005014138223752627,-0.009020464099426138,-0.018381624622143943
2018-02-08,2581.0,6777.16015625,3262.050048828125,33.459999084472656,-0.03753641975808808,-0.03897059052633367,-0.014266017417242316,-0.0382590522458017,-0.03975026748981897,-0.014368755321409828
2018-02-09,2619.550048828125,6874.490234375,3129.85107421875,29.059999465942383,0.014936090208494734,0.014361484143950776,-0.040526347735488244,0.014825645199524345,0.014259334878984965,-0.041370423771221874
2018-02-12,2656.0,6981.9599609375,3154.125,25.61000061035156,0.013914584754042503,0.015633119387545413,0.007755616866629733,0.013818665678186272,0.015512180977900487,0.007725696670287217
2018-02-13,2662.93994140625,7013.509765625,3184.958984375,24.96999931335449,0.0026129297463290957,0.004518760471846628,0.009775764871398529,0.0026095219802775584,0.004508581526370728,0.009728291225380974
2018-02-14,2698.6298828125,7143.6201171875,3199.158935546875,19.26000022888184,0.013402458257245842,0.01855138951972446,0.004458440828135624,0.013313439808897013,0.018381411494061847,0.004448531423572051
2018-02-15,2731.199951171875,7256.43017578125,,19.1299991607666,0.012069112762299383,0.015791721388197733,,0.01199686177677526,0.015668329507534506,
2018-02-16,2732.219970703125,7239.47021484375,,19.459999084472656,0.0003734693722488025,-0.002337232017212143,,0.0003733996499216942,-0.0023399676072669603,
2018-02-20,2716.260009765625,7234.31005859375,,20.600000381469727,-0.005841389459353419,-0.0007127809213746117,,-0.005858517106837343,-0.0007130350704711438,
2018-02-21,2701.330078125,7218.22998046875,,20.020000457763672,-0.0054965031281792864,-0.0022227521345865586,,-0.005511664483310908,-0.0022252261148222254,
2018-02-22,2703.9599609375,7210.08984375,3268.55908203125,18.71999931335449,0.0009735510790762625,-0.0011277192249036228,0.02169324746990453,0.0009730774855778604,-0.0011283555786926532,0.021461297481043327
2018-02-23,2747.300048828125,7337.39013671875,3289.02392578125,16.489999771118164,0.01602837635051313,0.017655853911321184,0.006261120951585264,0.015901278245121022,0.017501799981988878,0.006241601566916343
2018-02-26,2779.60009765625,7421.4599609375,3329.573974609375,15.800000190734863,0.011757015343810906,0.011457728518214694,0.012328900531939135,0.011688438620627399,0.011392585865810146,0.012253518589674503
2018-02-27,2744.280029296875,7330.35009765625,3292.068115234375,18.59000015258789,-0.012706888443829278,-0.012276541780296912,-0.011264461958500283,-0.012788311441467541,-0.012352521001094765,-0.01132838651394248
2018-02-28,2713.830078125,7273.009765625,3259.407958984375,19.850000381469727,-0.011095788639207016,-0.007822318343237544,-0.00992086284571747,-0.011157806083656078,-0.007853073163015006,-0.00997040252877746
2018-03-01,2677.669921875,7180.56005859375,3273.7548828125,22.46999931335449,-0.013324399541987275,-0.01271134097305937,0.004401696261610466,-0.013413965854876449,-0.012792821286839794,0.004392037130621964
