event_id,event_date,anchor_date,window_label,relative_day,market_date,event_type,event_group,description,sp500,nasdaq,shanghai,vix,sp500_return,nasdaq_return,shanghai_return,sp500_log_return,nasdaq_log_return,shanghai_log_return
E06,2018-08-23,2018-08-23,m3_p3,1,2018-08-24,tariff_implementation,escalation,Second tranche of bilateral tariffs enters into force,2874.68994140625,7945.97998046875,2729.430908203125,11.989999771118164,0.006198839704363,0.0085702053276939,0.0017642378266784,0.0061797059282853,0.0085336896012063,0.0017626833871227
E06,2018-08-23,2018-08-23,m3_p3,2,2018-08-27,tariff_implementation,escalation,Second tranche of bilateral tariffs enters into force,2896.739990234375,8017.89990234375,2780.89892578125,12.15999984741211,0.0076704094276471,0.0090511078623127,0.0188566845284272,0.0076411414071104,0.0090103920830664,0.0186811010995724
E06,2018-08-23,2018-08-23,m3_p3,3,2018-08-28,tariff_implementation,escalation,Second tranche of bilateral tariffs enters into force,2897.52001953125,8030.0400390625,2777.98095703125,12.5,0.0002692783264997,0.0015141292441429,-0.0010492897540964,0.0002692420775983,0.0015129841062377,-0.0010498406439862
E06,2018-08-23,2018-08-23,m5_p5,-5,2018-08-16,tariff_implementation,escalation,Second tranche of bilateral tariffs enters into force,2840.68994140625,7806.52001953125,2705.19189453125,13.449999809265137,0.007919408484583,0.0041676616588568,-0.0066340250294388,0.0078882145526381,0.0041590010117646,-0.0066561279820792
E06,2018-08-23,2018-08-23,m5_p5,-4,2018-08-17,tariff_implementation,escalation,Second tranche of bilateral tariffs enters into force,2850.1298828125,7816.330078125,2668.966064453125,12.640000343322754,0.0033231157222237,0.0012566493865648,-0.0133912237987102,0.003317606375263,0.0012558604635883,-0.013481694822418
E06,2018-08-23,2018-08-23,m5_p5,-3,2018-08-20,tariff_implementation,escalation,Second tranche of bilateral tariffs enters into force,2857.050048828125,7821.009765625,2698.466064453125,12.489999771118164,0.0024280177746833,0.0005987064841461,0.0110529693100629,0.0024250749021282,0.0005985273309223,0.0109923316530734
E06,2018-08-23,2018-08-23,m5_p5,-2,2018-08-21,tariff_implementation,escalation,Second tranche of bilateral tariffs enters into force,2862.9599609375,7859.169921875,2733.825927734375,12.859999656677246,0.0020685364303643,0.0048791853473604,0.0131036901842291,0.002066399954627,0.0048673207000909,0.0130185795387605
E06,2018-08-23,2018-08-23,m5_p5,-1,2018-08-22,tariff_implementation,escalation,Second tranche of bilateral tariffs enters into force,2861.820068359375,7889.10009765625,2714.60791015625,12.25,-0.0003981517707819,0.0038083125926495,-0.0070297151633395,-0.0003982310542435,0.0038010793287848,-0.0070545400205053
E06,2018-08-23,2018-08-23,m5_p5,0,2018-08-23,tariff_implementation,escalation,Second tranche of bilateral tariffs enters into force,2856.97998046875,7878.4599609375,2724.6240234375,12.40999984741211,-0.0016912621251551,-0.00134871361588,0.003689709016089,-0.0016926939235351,-0.0013496239486998,0.0036829187374199
E06,2018-08-23,2018-08-23,m5_p5,1,2018-08-24,tariff_implementation,escalation,Second tranche of bilateral tariffs enters into force,2874.68994140625,7945.97998046875,2729.430908203125,11.989999771118164,0.006198839704363,0.0085702053276939,0.0017642378266784,0.0061797059282853,0.0085336896012063,0.0017626833871227
E06,2018-08-23,2018-08-23,m5_p5,2,2018-08-27,tariff_implementation,escalation,Second tranche of bilateral tariffs enters into force,2896.739990234375,8017.89990234375,2780.89892578125,12.15999984741211,0.0076704094276471,0.0090511078623127,0.0188566845284272,0.0076411414071104,0.0090103920830664,0.0186811010995724
E06,2018-08-23,2018-08-23,m5_p5,3,2018-08-28,tariff_implementation,escalation,Second tranche of bilateral tariffs enters into force,2897.52001953125,8030.0400390625,2777.98095703125,12.5,0.0002692783264997,0.0015141292441429,-0.0010492897540964,0.0002692420775983,0.0015129841062377,-0.0010498406439862
E06,2018-08-23,2018-08-23,m5_p5,4,2018-08-29,tariff_implementation,escalation,Second tranche of bilateral tariffs enters into force,2914.0400390625,8109.68994140625,2769.294921875,12.25,0.00570143412984,0.0099189919298396,-0.0031267439520292,0.0056852424689116,0.0098701216264343,-0.0031316424294214
E06,2018-08-23,2018-08-23,m5_p5,5,2018-08-30,tariff_implementation,escalation,Second tranche of bilateral tariffs enters into force,2901.1298828125,8088.35986328125,2737.737060546875,13.529999732971191,-0.0044303290541448,-0.0026301965030861,-0.0113956303746652,-0.004440172044458,-0.0026336615470732,-0.0114610581055578
E07,2018-09-24,2018-09-24,m1_p1,-1,2018-09-21,tariff_implementation,escalation,US implements tariffs on 200 billion dollars of Chinese imports,2929.669921875,7986.9599609375,2797.485107421875,11.68000030517578,-0.0003685330120276,-0.0051406125175352,0.0250037056143657,-0.000368600937007,-0.0051538709231317,0.024696227817364
E07,2018-09-24,2018-09-24,m1_p1,0,2018-09-24,tariff_implementation,escalation,US implements tariffs on 200 billion dollars of Chinese imports,2919.3701171875,7993.25,,12.199999809265137,-0.0035156877607932,0.0007875385745343,,-0.0035218823140138,0.00078722862875,
E07,2018-09-24,2018-09-24,m1_p1,1,2018-09-25,tariff_implementation,escalation,US implements tariffs on 200 billion dollars of Chinese imports,2915.56005859375,8007.47021484375,2781.138916015625,12.420000076293944,-0.0013050961134796,0.001779027910268,-0.0058431737001504,-0.0013059484931179,0.0017774473144537,-0.0058603118329295
E07,2018-09-24,2018-09-24,m3_p3,-3,2018-09-19,tariff_implementation,escalation,US implements tariffs on 200 billion dollars of Chinese imports,2907.949951171875,7950.0400390625,2730.85009765625,11.75,0.0012532727238796,-0.0007629135749825,0.0114447108439781,0.0012524880331719,-0.0007632047416434,0.0113797155721336
E07,2018-09-24,2018-09-24,m3_p3,-2,2018-09-20,tariff_implementation,escalation,US implements tariffs on 200 billion dollars of Chinese imports,2930.75,8028.22998046875,2729.243896484375,11.800000190734863,0.0078405918984048,0.0098351632220798,-0.0005881689270508,0.007810014185329,0.0097871128032128,-0.0005883419662483
E07,2018-09-24,2018-09-24,m3_p3,-1,2018-09-21,tariff_implementation,escalation,US implements tariffs on 200 billion dollars of Chinese imports,2929.669921875,7986.9599609375,2797.485107421875,11.68000030517578,-0.0003685330120276,-0.0051406125175352,0.0250037056143657,-0.000368600937007,-0.0051538709231317,0.024696227817364
E07,2018-09-24,2018-09-24,m3_p3,0,2018-09-24,tariff_implementation,escalation,US implements tariffs on 200 billion dollars of Chinese imports,2919.3701171875,7993.25,,12.199999809265137,-0.0035156877607932,0.0007875385745343,,-0.0035218823140138,0.00078722862875,
E07,2018-09-24,2018-09-24,m3_p3,1,2018-09-25,tariff_implementation,escalation,US implements tariffs on 200 billion dollars of Chinese imports,2915.56005859375,8007.47021484375,2781.138916015625,12.420000076293944,-0.0013050961134796,0.001779027910268,-0.0058431737001504,-0.0013059484931179,0.0017774473144537,-0.0058603118329295
E07,2018-09-24,2018-09-24,m3_p3,2,2018-09-26,tariff_implementation,escalation,US implements tariffs on 200 billion dollars of Chinese imports,2905.969970703125,7990.3701171875,2806.81298828125,12.890000343322754,-0.003289278113945,-0.002135518109646,0.0092314958155368,-0.0032946996811599,-0.0021378015799517,0.0091891459933223
E07,2018-09-24,2018-09-24,m3_p3,3,2018-09-27,tariff_implementation,escalation,US implements tariffs on 200 billion dollars of Chinese imports,2914.0,8041.97021484375,2791.77490234375,12.40999984741211,0.002763287087558,0.0064577856719374,-0.0053577085471264,0.0027594762285113,0.0064370235111638,-0.0053721125388604
E07,2018-09-24,2018-09-24,m5_p5,-5,2018-09-17,tariff_implementation,escalation,US implements tariffs on 200 billion dollars of Chinese imports,2888.800048828125,7895.7900390625,2651.7890625,13.68000030517578,-0.0055697222526174,-0.014263349426824,-0.0111327283933645,-0.0055852909915492,-0.0143660487222108,-0.0111951610101275
E07,2018-09-24,2018-09-24,m5_p5,-4,2018-09-18,tariff_implementation,escalation,US implements tariffs on 200 billion dollars of Chinese imports,2904.31005859375,7956.10986328125,2699.949951171875,12.789999961853027,0.005369014643958,0.0076394919216864,0.018161658992013,0.0053546528676252,0.0076104587751812,0.0179987061023985
