window_label,excluded_event_id,n_remaining,full_mean_car,loo_mean_car,delta_mean_car,full_median_car,loo_median_car,delta_median_car
m3_p3,E22,23,-0.001643600192147921,-0.0015490025158119605,9.459767633596063e-05,0.0048262485038498,0.0055166302924706,0.0006903817886207992
m3_p3,E23,23,-0.001643600192147921,-0.0017410320968324561,-9.7431904684535e-05,0.0048262485038498,0.0055166302924706,0.0006903817886207992
m3_p3,E24,23,-0.001643600192147921,-0.0025508009525983867,-0.0009072007604504656,0.0048262485038498,0.004135866715229,-0.0006903817886208001
m5_p5,E01,23,0.0010798147647165374,0.003241283481418518,0.0021614687167019805,0.010630000944407001,0.0112401784891913,0.0006101775447842992
m5_p5,E02,23,0.0010798147647165374,-0.00042159058018637296,-0.0015014053449029104,0.010630000944407001,0.0100198233996227,-0.000610177544784301
m5_p5,E03,23,0.0010798147647165374,0.0023320556191531307,0.0012522408544365933,0.010630000944407001,0.0112401784891913,0.0006101775447842992
m5_p5,E04,23,0.0010798147647165374,-0.0006561440617692953,-0.0017359588264858326,0.010630000944407001,0.0100198233996227,-0.000610177544784301
m5_p5,E05,23,0.0010798147647165374,-0.00023008806557768178,-0.0013099028302942192,0.010630000944407001,0.0100198233996227,-0.000610177544784301
m5_p5,E06,23,0.0010798147647165374,0.00017218359288981774,-0.0009076311718267196,0.010630000944407001,0.0100198233996227,-0.000610177544784301
m5_p5,E07,23,0.0010798147647165374,0.0011766545032302267,9.683973851368926e-05,0.010630000944407001,0.0112401784891913,0.0006101775447842992
m5_p5,E08,23,0.0010798147647165374,0.0029560403639584784,0.001876225599241941,0.010630000944407001,0.0112401784891913,0.0006101775447842992
m5_p5,E09,23,0.0010798147647165374,0.002330596815447118,0.0012507820507305807,0.010630000944407001,0.0112401784891913,0.0006101775447842992
m5_p5,E10,23,0.0010798147647165374,0.0027278122149939047,0.0016479974502773673,0.010630000944407001,0.0112401784891913,0.0006101775447842992
m5_p5,E11,23,0.0010798147647165374,0.0006911187371119219,-0.00038869602760461554,0.010630000944407001,0.0112401784891913,0.0006101775447842992
m5_p5,E12,23,0.0010798147647165374,-0.00015157909179508243,-0.0012313938565116198,0.010630000944407001,0.0100198233996227,-0.000610177544784301
m5_p5,E13,23,0.0010798147647165374,-0.001671895008814848,-0.0027517097735313854,0.010630000944407001,0.0100198233996227,-0.000610177544784301
m5_p5,E14,23,0.0010798147647165374,0.00014005344014990847,-0.0009397613245666289,0.010630000944407001,0.0100198233996227,-0.000610177544784301
m5_p5,E15,23,0.0010798147647165374,-4.669378806804558e-06,-0.001084484143523342,0.010630000944407001,0.0100198233996227,-0.000610177544784301
m5_p5,E16,23,0.0010798147647165374,0.0005343188438362862,-0.0005454959208802512,0.010630000944407001,0.0100198233996227,-0.000610177544784301
m5_p5,E17,23,0.0010798147647165374,0.0033658497974742175,0.00228603503275768,0.010630000944407001,0.0112401784891913,0.0006101775447842992
m5_p5,E18,23,0.0010798147647165374,0.0041839408017478865,0.003104126037031349,0.010630000944407001,0.0112401784891913,0.0006101775447842992
m5_p5,E19,23,0.0010798147647165374,0.0009677885130807777,-0.00011202625163575974,0.010630000944407001,0.0112401784891913,0.0006101775447842992
m5_p5,E20,23,0.0010798147647165374,0.00015281057004068221,-0.0009270041946758552,0.010630000944407001,0.0100198233996227,-0.000610177544784301
m5_p5,E21,23,0.0010798147647165374,0.0016349500029091604,0.000555135238192623,0.010630000944407001,0.0112401784891913,0.0006101775447842992
m5_p5,E22,23,0.0010798147647165374,0.0014148829838763562,0.00033506821915981876,0.010630000944407001,0.0112401784891913,0.0006101775447842992
m5_p5,E23,23,0.0010798147647165374,0.00039112043865443863,-0.0006886943260620988,0.010630000944407001,0.0100198233996227,-0.000610177544784301
m5_p5,E24,23,0.0010798147647165374,0.000638059820174156,-0.0004417549445423814,0.010630000944407001,0.0100198233996227,-0.000610177544784301
